Designator,Mid X,Mid Y,Rotation,Layer
D1,142.199,-49.7125,270,bottom
D10,27.215,-30.677,270,bottom
D11,41.445,-40.1495,270,bottom
D12,23.631,-49.653,270,bottom
D13,29.497,-11.7445,270,bottom
D14,43.688,-21.1285,270,bottom
D15,36.581,-30.7075,270,bottom
D16,50.756,-40.1965,270,bottom
D17,35.584,-49.6215,270,bottom
D18,122.137,-30.7185,270,bottom
D19,39.041,-11.617,270,bottom
D2,10.449,-11.694,270,bottom
D20,53.307,-21.1615,270,bottom
D21,46.174,-30.61,270,bottom
D22,60.404,-40.0985,270,bottom
D23,31.908,-39.9535,270,bottom
D24,117.349,-40.0745,270,bottom
D25,48.492,-11.782,270,bottom
D26,62.757,-21.196,270,bottom
D27,55.709,-30.6965,270,bottom
D28,69.809,-40.142,270,bottom
D29,114.923,-11.764,270,bottom
D3,12.687,-21.3075,270,bottom
D31,57.944,-11.725,270,bottom
D32,72.25,-21.091,270,bottom
D33,65.183,-30.59,270,bottom
D34,79.521,-39.986,270,bottom
D35,129.489,-20.943,270,bottom
D37,67.681,-11.6035,270,bottom
D38,81.803,-21.14,270,bottom
D39,74.796,-30.6665,270,bottom
D4,14.041,-30.684,270,bottom
D40,88.972,-40.0625,270,bottom
D41,48.86,-51.2315,270,bottom
D43,77.132,-11.71,270,bottom
D44,91.195,-21.182,270,bottom
D45,84.154,-30.6935,270,bottom
D46,98.283,-40.11,270,bottom
D49,86.691,-11.6035,270,bottom
D5,16.549,-40.1595,270,bottom
D50,100.92,-21.1625,270,bottom
D51,93.806,-30.7215,270,bottom
D52,107.927,-40.0085,270,bottom
D55,96.087,-11.527,270,bottom
D56,110.371,-21.1075,270,bottom
D57,103.256,-30.59,270,bottom
D58,135.789,-40.149,270,bottom
D59,106.786,-49.762,270,bottom
D6,11.666,-49.6715,270,bottom
D61,105.537,-11.744,270,bottom
D62,119.69,-21.175,270,bottom
D63,112.638,-30.7115,270,bottom
D65,118.308,-49.6785,270,bottom
D66,130.375,-49.671,270,bottom
D67,124.546,-11.5465,270,bottom
D7,24.934,-21.1955,270,bottom
D72,139.029,-11.725,270,bottom
D73,141.165,-20.958,270,bottom
D74,137.726,-30.6645,270,bottom
D8,20.155,-11.5275,270,bottom
D9,34.33,-21.1405,270,bottom
